Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
"Total","Cedric Mullins","BAL",41,67,66,10,6,3,1,0,7,0,1,0,15,0,0,0,0,1,1,0.151515151,17929
"Total","Sam Hilliard","COL",6,9,6,1,1,0,0,0,0,2,0,0,3,0,2,1,0,0,0,0.166666666,17954
"Total","Ty France","SEA",44,89,75,18,12,3,0,3,11,8,11,0,20,3,0,0,1,0,1,0.24,17982
"Total","Tyler Stephenson","CIN",52,92,83,19,10,5,0,4,15,12,8,1,13,0,1,0,1,0,0,0.228915662,17988
"Total","David Fletcher","ATL",3,6,5,1,1,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0.2,17992
"Total","Paul DeJong","CHW",45,77,72,13,9,2,0,2,9,4,3,0,26,1,1,0,3,0,0,0.180555555,18015
"Total","Harrison Bader","NYM",53,99,91,18,12,4,0,2,8,10,6,1,21,0,2,0,4,2,1,0.197802197,18030
"Total","Jake Cronenworth","SDP",61,122,109,19,15,3,0,1,8,12,10,0,25,2,1,0,6,1,0,0.174311926,18036
"Total","Dylan Moore","SEA",50,99,85,19,10,6,1,2,10,7,9,0,29,2,3,0,1,9,1,0.223529411,18042
"Total","Sam Haggerty","SEA",5,11,11,1,1,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0.09090909,18054
"Total","Garrett Stubbs","PHI",26,45,39,9,9,0,0,0,3,2,4,0,11,1,0,0,0,1,0,0.23076923,18067
