Name,playerId,Season,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA
Jacob Waguespack,621097,Total,TBR,4,19,0.00,5,0,0,0,0,0,4,0,0,2,.333,.474,.333,
Miles Mikolas,571945,Total,STL,32,345,0.00,91,26,4,0,0,10,14,0,3,63,.281,.313,.478,
Robert Garcia,676395,Total,WSN,68,103,0.00,21,4,0,0,0,1,8,0,1,29,.226,.291,.301,
Shelby Miller,571946,Total,DET,47,105,0.00,12,4,0,0,0,3,5,0,0,29,.122,.162,.255,
Luke Jackson,592426,Total,ATL,45,99,0.00,22,3,0,0,0,4,14,0,1,22,.268,.374,.451,
Hoby Milner,571948,Total,MIL,55,109,0.00,30,3,2,0,0,4,1,0,0,27,.286,.290,.467,
Paul Sewald,623149,Total,ARI,38,72,0.00,18,8,0,0,0,2,8,1,0,21,.281,.361,.500,
Matt Manning,666159,Total,DET,5,70,0.00,21,3,1,0,0,3,8,0,0,12,.339,.414,.565,
Matt Foster,641582,Total,CWS,6,15,0.00,3,1,0,0,0,0,3,0,0,1,.250,.400,.333,
Nick Lodolo,666157,Total,CIN,18,92,0.00,21,2,0,0,0,0,9,0,2,22,.259,.348,.284,
Matt Wallner,670242,Total,MIN,1,2,0.00,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,
Darius Vines,670241,Total,ATL,4,25,0.00,8,1,0,0,0,1,1,0,0,3,.333,.360,.500,
Ernie Clement,676391,Total,TOR,1,2,0.00,1,1,0,0,0,0,0,0,0,0,.500,.500,1.000,
Tyler Fitzgerald,666149,Total,SFG,3,8,0.00,2,0,0,0,0,0,0,0,0,0,.250,.250,.250,
Paul Blackburn,621112,Total,NYM,14,159,0.00,33,7,0,0,0,4,9,0,1,33,.221,.270,.349,
Scott Effross,664123,Total,NYY,3,4,0.00,1,0,0,0,0,0,1,0,0,0,.333,.500,.333,
